locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALLENOCK_00783	CDS	1326				hypothetical protein
ALLENOCK_00784	CDS	1461				hypothetical protein
ALLENOCK_00785	CDS	2829				hypothetical protein
ALLENOCK_00786	CDS	894				hypothetical protein
ALLENOCK_00787	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
ALLENOCK_00788	CDS	2082				hypothetical protein
ALLENOCK_00789	CDS	669				hypothetical protein
ALLENOCK_00790	CDS	1443				hypothetical protein
ALLENOCK_00791	CDS	1782				hypothetical protein
ALLENOCK_00792	CDS	1206				hypothetical protein
ALLENOCK_00793	CDS	918				hypothetical protein
ALLENOCK_00794	CDS	831	srlR		COG1349	Glucitol operon repressor
ALLENOCK_00795	CDS	711				hypothetical protein
ALLENOCK_00796	CDS	525	recX			Regulatory protein RecX
ALLENOCK_00797	CDS	879	prmC	2.1.1.297		Release factor glutamine methyltransferase
ALLENOCK_00798	CDS	1782	rpsA		COG0539	30S ribosomal protein S1
ALLENOCK_00799	CDS	270				hypothetical protein
ALLENOCK_00800	CDS	1821	ltaS_2			Lipoteichoic acid synthase
ALLENOCK_00801	CDS	1587				hypothetical protein
ALLENOCK_00802	CDS	489				hypothetical protein
ALLENOCK_00803	CDS	2010				hypothetical protein
ALLENOCK_00804	CDS	1290	dinF		COG0534	DNA damage-inducible protein F
ALLENOCK_00805	CDS	2079				hypothetical protein
ALLENOCK_00806	CDS	888				hypothetical protein
ALLENOCK_00807	CDS	2283	kefB_2			Glutathione-regulated potassium-efflux system protein KefB
ALLENOCK_00808	CDS	738				hypothetical protein
ALLENOCK_00809	CDS	945				hypothetical protein
ALLENOCK_00810	CDS	993	TSFM			Elongation factor Ts, mitochondrial
ALLENOCK_00811	CDS	834	rpsB		COG0052	30S ribosomal protein S2
ALLENOCK_00812	CDS	387	rpsI		COG0103	30S ribosomal protein S9
ALLENOCK_00813	CDS	480	rplM		COG0102	50S ribosomal protein L13
ALLENOCK_00814	CDS	624	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
ALLENOCK_00815	CDS	777				hypothetical protein
ALLENOCK_00816	CDS	495	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
ALLENOCK_00817	CDS	198				hypothetical protein
ALLENOCK_00818	CDS	219				hypothetical protein
ALLENOCK_00819	CDS	1482	ndhB	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
ALLENOCK_00820	CDS	1506	ndhD1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
ALLENOCK_00821	CDS	1962	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
ALLENOCK_00822	CDS	315	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
ALLENOCK_00823	CDS	519				hypothetical protein
ALLENOCK_00824	CDS	594	ndhI_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
ALLENOCK_00825	CDS	882	atpG		COG0224	ATP synthase gamma chain
ALLENOCK_00826	CDS	1578	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
ALLENOCK_00827	CDS	546	atpH			ATP synthase subunit delta
ALLENOCK_00828	CDS	498	atpF		COG0711	ATP synthase subunit b
ALLENOCK_00829	CDS	252	atpE			ATP synthase subunit c
ALLENOCK_00830	CDS	1194	atpB			ATP synthase subunit a
ALLENOCK_00831	CDS	234	atpC			ATP synthase epsilon chain
ALLENOCK_00832	CDS	1503	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
ALLENOCK_00833	CDS	1080	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
ALLENOCK_00834	CDS	1629	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
ALLENOCK_00835	CDS	645	ndhK	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
ALLENOCK_00836	CDS	375	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
ALLENOCK_00837	CDS	513				hypothetical protein
ALLENOCK_00838	CDS	1536				hypothetical protein
ALLENOCK_00839	CDS	963				hypothetical protein
ALLENOCK_00840	CDS	1584				hypothetical protein
ALLENOCK_00841	CDS	2826	susC_3			TonB-dependent receptor SusC
ALLENOCK_00842	CDS	168				hypothetical protein
ALLENOCK_00843	CDS	291				hypothetical protein
ALLENOCK_00844	CDS	1098	recF		COG1195	DNA replication and repair protein RecF
ALLENOCK_00845	CDS	690	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
ALLENOCK_00846	CDS	3162				hypothetical protein
ALLENOCK_00847	CDS	1113				hypothetical protein
ALLENOCK_00848	tRNA	74				tRNA-Pro(cgg)
ALLENOCK_00849	CDS	162				hypothetical protein
ALLENOCK_00850	CDS	1209	xerC_1			Tyrosine recombinase XerC
ALLENOCK_00851	CDS	1698				hypothetical protein
ALLENOCK_00852	CDS	4104				hypothetical protein
ALLENOCK_00853	CDS	102				hypothetical protein
ALLENOCK_00854	CDS	357				hypothetical protein
ALLENOCK_00855	CDS	1998				hypothetical protein
ALLENOCK_00856	CDS	861				hypothetical protein
ALLENOCK_00857	CDS	801				hypothetical protein
ALLENOCK_00858	CDS	213				hypothetical protein
ALLENOCK_00859	CDS	930				hypothetical protein
ALLENOCK_00860	CDS	465				hypothetical protein
ALLENOCK_00861	CDS	513				hypothetical protein
ALLENOCK_00862	CDS	789				hypothetical protein
ALLENOCK_00863	CDS	852				hypothetical protein
ALLENOCK_00864	CDS	1359				hypothetical protein
ALLENOCK_00865	CDS	234				hypothetical protein
ALLENOCK_00866	CDS	1209				hypothetical protein
ALLENOCK_00867	CDS	609	mutS_3			DNA mismatch repair protein MutS
ALLENOCK_00868	CDS	132				hypothetical protein
ALLENOCK_00869	CDS	501				hypothetical protein
ALLENOCK_00870	CDS	399				hypothetical protein
ALLENOCK_00871	CDS	237				hypothetical protein
ALLENOCK_00872	CDS	1647				hypothetical protein
ALLENOCK_00873	CDS	633				hypothetical protein
ALLENOCK_00874	CDS	276				hypothetical protein
ALLENOCK_00875	CDS	519				hypothetical protein
ALLENOCK_00876	CDS	741				hypothetical protein
ALLENOCK_00877	CDS	663				hypothetical protein
ALLENOCK_00878	CDS	573				hypothetical protein
ALLENOCK_00879	CDS	978				hypothetical protein
ALLENOCK_00880	CDS	1032	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
ALLENOCK_00881	CDS	420				hypothetical protein
ALLENOCK_00882	CDS	462				hypothetical protein
ALLENOCK_00883	CDS	201				hypothetical protein
ALLENOCK_00884	CDS	294				hypothetical protein
ALLENOCK_00885	CDS	219				hypothetical protein
ALLENOCK_00886	CDS	369				hypothetical protein
ALLENOCK_00887	CDS	240				hypothetical protein
ALLENOCK_00888	CDS	381				hypothetical protein
ALLENOCK_00889	CDS	450				hypothetical protein
ALLENOCK_00890	CDS	924	ligA_1	6.5.1.2		DNA ligase
ALLENOCK_00891	CDS	195				hypothetical protein
ALLENOCK_00892	CDS	411				hypothetical protein
ALLENOCK_00893	CDS	441				hypothetical protein
ALLENOCK_00894	CDS	519				hypothetical protein
ALLENOCK_00895	CDS	267				hypothetical protein
ALLENOCK_00896	CDS	234				hypothetical protein
ALLENOCK_00897	CDS	417				hypothetical protein
ALLENOCK_00898	CDS	240				hypothetical protein
ALLENOCK_00899	CDS	348				hypothetical protein
ALLENOCK_00900	CDS	357				hypothetical protein
ALLENOCK_00901	CDS	303				hypothetical protein
ALLENOCK_00902	CDS	3021				hypothetical protein
ALLENOCK_00903	CDS	561	malT			HTH-type transcriptional regulator MalT
ALLENOCK_00904	CDS	210				hypothetical protein
ALLENOCK_00905	CDS	378				hypothetical protein
ALLENOCK_00906	CDS	3210	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
ALLENOCK_00907	CDS	1557				hypothetical protein
ALLENOCK_00908	CDS	564				hypothetical protein
ALLENOCK_00909	CDS	1182				hypothetical protein
ALLENOCK_00910	CDS	93				hypothetical protein
ALLENOCK_00911	CDS	2034				hypothetical protein
ALLENOCK_00912	CDS	840	nisB_3			Nisin biosynthesis protein NisB
ALLENOCK_00913	CDS	969	cbiM			Cobalt transport protein CbiM
ALLENOCK_00914	CDS	798	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
ALLENOCK_00915	CDS	711	cbiO	3.6.3.-	COG1122	Cobalt import ATP-binding protein CbiO
ALLENOCK_00916	CDS	600	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
ALLENOCK_00917	CDS	1053	queA_2	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
ALLENOCK_00918	CDS	720	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
ALLENOCK_00919	CDS	837	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
ALLENOCK_00920	CDS	309				hypothetical protein
ALLENOCK_00921	CDS	873	ftsX		COG2177	Cell division protein FtsX
ALLENOCK_00922	CDS	426				hypothetical protein
ALLENOCK_00923	CDS	2709	yoaB	7.2.2.10	COG0474	Calcium-transporting ATPase 1
ALLENOCK_00924	CDS	246				hypothetical protein
ALLENOCK_00925	CDS	900				hypothetical protein
ALLENOCK_00926	CDS	966				hypothetical protein
ALLENOCK_00927	CDS	1512				hypothetical protein
ALLENOCK_00928	CDS	423				hypothetical protein
ALLENOCK_00929	CDS	1725	dauA		COG0659	C4-dicarboxylic acid transporter DauA
ALLENOCK_00930	CDS	522				hypothetical protein
ALLENOCK_00931	CDS	510				hypothetical protein
ALLENOCK_00932	CDS	2694				hypothetical protein
ALLENOCK_00933	CDS	1173	cgtA	3.6.5.-		GTPase Obg/CgtA
ALLENOCK_00934	CDS	846				hypothetical protein
ALLENOCK_00935	CDS	1434	yeeO		COG0534	putative FMN/FAD exporter YeeO
ALLENOCK_00936	CDS	1173	patB_2	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
ALLENOCK_00937	CDS	600				hypothetical protein
ALLENOCK_00938	CDS	186	rpmF			50S ribosomal protein L32
ALLENOCK_00939	CDS	981	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
ALLENOCK_00940	CDS	1374	rpoN		COG1508	RNA polymerase sigma-54 factor
ALLENOCK_00941	CDS	603				hypothetical protein
ALLENOCK_00942	CDS	507	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
ALLENOCK_00943	CDS	1596	ispG	1.17.7.3		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
ALLENOCK_00944	CDS	741	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
ALLENOCK_00945	CDS	1899	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
ALLENOCK_00946	CDS	1785				hypothetical protein
ALLENOCK_00947	CDS	315				hypothetical protein
ALLENOCK_00948	CDS	1392	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
ALLENOCK_00949	CDS	387				hypothetical protein
ALLENOCK_00950	CDS	1251				hypothetical protein
ALLENOCK_00951	CDS	777	lpxA_1	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
ALLENOCK_00952	CDS	1383	lpxC	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
ALLENOCK_00953	CDS	1038	lpxD_2	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
ALLENOCK_00954	CDS	327				hypothetical protein
ALLENOCK_00955	CDS	1071	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
ALLENOCK_00956	CDS	3249	carB_2	6.3.5.5		Carbamoyl-phosphate synthase large chain
ALLENOCK_00957	CDS	249				hypothetical protein
ALLENOCK_00958	CDS	1023	mltG	4.2.2.-		Endolytic murein transglycosylase
ALLENOCK_00959	CDS	582				hypothetical protein
ALLENOCK_00960	CDS	1149				hypothetical protein
ALLENOCK_00961	CDS	516				hypothetical protein
ALLENOCK_00962	CDS	1722				hypothetical protein
ALLENOCK_00963	CDS	900	cynR			HTH-type transcriptional regulator CynR
ALLENOCK_00964	CDS	495				hypothetical protein
ALLENOCK_00965	CDS	786	yjjP		COG2966	Inner membrane protein YjjP
ALLENOCK_00966	CDS	198				hypothetical protein
ALLENOCK_00967	CDS	1668		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
ALLENOCK_00968	CDS	1296	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
ALLENOCK_00969	CDS	156				hypothetical protein
ALLENOCK_00970	CDS	2340		3.2.1.-		Beta-xylosidase
ALLENOCK_00971	CDS	708				hypothetical protein
ALLENOCK_00972	CDS	1239				hypothetical protein
ALLENOCK_00973	CDS	978				hypothetical protein
ALLENOCK_00974	CDS	1086				hypothetical protein
ALLENOCK_00975	CDS	1590				hypothetical protein
ALLENOCK_00976	CDS	3099	btuB_2			Vitamin B12 transporter BtuB
ALLENOCK_00977	CDS	2229				hypothetical protein
ALLENOCK_00978	CDS	957		2.4.1.320	COG2152	1,4-beta-mannosyl-N-acetylglucosamine phosphorylase
ALLENOCK_00979	CDS	1374	ampG_1		COG0477	Anhydromuropeptide permease
ALLENOCK_00980	CDS	2349				hypothetical protein
ALLENOCK_00981	CDS	786	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
ALLENOCK_00982	CDS	1188				hypothetical protein
ALLENOCK_00983	CDS	291	trxA_1			Thioredoxin
ALLENOCK_00984	CDS	1299	bepC_2			Outer membrane efflux protein BepC
ALLENOCK_00985	CDS	1182	macA		COG0845	Macrolide export protein MacA
ALLENOCK_00986	CDS	771	yknY_2	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
ALLENOCK_00987	CDS	1221	macB_3	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
ALLENOCK_00988	CDS	1122				hypothetical protein
ALLENOCK_00989	CDS	747	btsR		COG3279	Transcriptional regulatory protein BtsR
ALLENOCK_00990	CDS	648	vldH	3.1.3.101		Validoxylamine A 7'-phosphate phosphatase
ALLENOCK_00991	CDS	1683	aspT_1			Aspartate/alanine antiporter
ALLENOCK_00992	CDS	666	gph_2	3.1.3.18	COG0546	Phosphoglycolate phosphatase
ALLENOCK_00993	CDS	2283	bamA_2			Outer membrane protein assembly factor BamA
ALLENOCK_00994	CDS	834				hypothetical protein
ALLENOCK_00995	CDS	1863				hypothetical protein
ALLENOCK_00996	CDS	741	fpuD	7.2.2.-	COG1120	Petrobactin import ATP-binding protein FpuD
ALLENOCK_00997	CDS	1002	hmuU_1		COG0609	Hemin transport system permease protein HmuU
ALLENOCK_00998	CDS	582				hypothetical protein
ALLENOCK_00999	CDS	306				hypothetical protein
ALLENOCK_01000	CDS	2022	pulA	3.2.1.41	COG1523	Pullulanase
ALLENOCK_01001	CDS	1374				hypothetical protein
ALLENOCK_01002	CDS	705				hypothetical protein
ALLENOCK_01003	CDS	939				hypothetical protein
ALLENOCK_01004	CDS	657	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
ALLENOCK_01005	CDS	969				hypothetical protein
ALLENOCK_01006	CDS	1203				hypothetical protein
ALLENOCK_01007	CDS	864	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
ALLENOCK_01008	CDS	198				hypothetical protein
ALLENOCK_01009	CDS	1254	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
ALLENOCK_01010	CDS	645				hypothetical protein
ALLENOCK_01011	CDS	945	fabH_2	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
ALLENOCK_01012	CDS	747	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ALLENOCK_01013	CDS	339				hypothetical protein
ALLENOCK_01014	CDS	531	sigM		COG1595	ECF RNA polymerase sigma factor SigM
ALLENOCK_01015	CDS	771				hypothetical protein
ALLENOCK_01016	CDS	861				hypothetical protein
ALLENOCK_01017	CDS	744	rsmI_2	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
ALLENOCK_01018	CDS	756				hypothetical protein
ALLENOCK_01019	CDS	858				hypothetical protein
ALLENOCK_01020	CDS	738				hypothetical protein
ALLENOCK_01021	CDS	702				hypothetical protein
ALLENOCK_01022	CDS	837	tolQ_1			Tol-Pal system protein TolQ
ALLENOCK_01023	CDS	1470	nhaP2		COG3263	K(+)/H(+) antiporter NhaP2
ALLENOCK_01024	CDS	156				hypothetical protein
ALLENOCK_01025	CDS	1353	nqrA	7.2.1.1	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
ALLENOCK_01026	CDS	1209	nqrB	7.2.1.1	COG1805	Na(+)-translocating NADH-quinone reductase subunit B
ALLENOCK_01027	CDS	714	nqrC	7.2.1.1	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
ALLENOCK_01028	CDS	624	nqrD	7.2.1.1	COG1347	Na(+)-translocating NADH-quinone reductase subunit D
ALLENOCK_01029	CDS	618	nqrE	7.2.1.1	COG2209	Na(+)-translocating NADH-quinone reductase subunit E
ALLENOCK_01030	CDS	1305	nqrF	7.2.1.1	COG2871	Na(+)-translocating NADH-quinone reductase subunit F
ALLENOCK_01031	CDS	306				hypothetical protein
ALLENOCK_01032	CDS	750				hypothetical protein
ALLENOCK_01033	CDS	1059	resA_1			Thiol-disulfide oxidoreductase ResA
ALLENOCK_01034	CDS	441				hypothetical protein
ALLENOCK_01035	CDS	549	nudC	3.6.1.22		NADH pyrophosphatase
ALLENOCK_01036	CDS	933				hypothetical protein
ALLENOCK_01037	CDS	1089	aroC	4.2.3.5	COG0082	Chorismate synthase
ALLENOCK_01038	CDS	501	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
ALLENOCK_01039	CDS	936	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
ALLENOCK_01040	CDS	624	yciO		COG0009	putative protein YciO
ALLENOCK_01041	CDS	936	mdh_2	1.1.1.37		Malate dehydrogenase
ALLENOCK_01042	CDS	447	resA_2			Thiol-disulfide oxidoreductase ResA
ALLENOCK_01043	tRNA	76				tRNA-Val(tac)
ALLENOCK_01044	CDS	2826				hypothetical protein
ALLENOCK_01045	CDS	2175	dpp5	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
ALLENOCK_01046	CDS	939				hypothetical protein
ALLENOCK_01047	CDS	489				hypothetical protein
ALLENOCK_01048	CDS	1473	sufB		COG0719	FeS cluster assembly protein SufB
ALLENOCK_01049	CDS	768	sufC		COG0396	putative ATP-dependent transporter SufC
ALLENOCK_01050	CDS	1344	sufD		COG0719	FeS cluster assembly protein SufD
ALLENOCK_01051	CDS	1209	sufS	2.8.1.7	COG0520	Cysteine desulfurase
ALLENOCK_01052	CDS	1263	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
ALLENOCK_01053	CDS	456				hypothetical protein
ALLENOCK_01054	CDS	816	mntC		COG1108	Manganese transport system membrane protein MntC
ALLENOCK_01055	CDS	2973				hypothetical protein
ALLENOCK_01056	CDS	1545	rssB			Regulator of RpoS
ALLENOCK_01057	CDS	438	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
ALLENOCK_01058	CDS	228				hypothetical protein
ALLENOCK_01059	CDS	738	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
ALLENOCK_01060	CDS	1905				hypothetical protein
ALLENOCK_01061	CDS	2031	glgB_1	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
ALLENOCK_01062	CDS	2175				hypothetical protein
ALLENOCK_01063	CDS	6168				hypothetical protein
ALLENOCK_01064	CDS	2046	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
ALLENOCK_01065	CDS	1032	ansA	3.5.1.1	COG0252	L-asparaginase 1
ALLENOCK_01066	CDS	273			COG0776	DNA-binding protein HU
ALLENOCK_01067	CDS	90				hypothetical protein
ALLENOCK_01068	CDS	1623	rng	3.1.26.-	COG1530	Ribonuclease G
ALLENOCK_01069	CDS	2271	rnr	3.1.13.1	COG0557	Ribonuclease R
ALLENOCK_01070	CDS	1932	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
ALLENOCK_01071	CDS	1038	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
ALLENOCK_01072	CDS	1089	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
ALLENOCK_01073	CDS	435	perR_1		COG0735	Peroxide operon regulator
ALLENOCK_01074	CDS	543	rbr_2		COG1592	Rubrerythrin
ALLENOCK_01075	CDS	975	qmcA		COG0330	Protein QmcA
ALLENOCK_01076	CDS	453				hypothetical protein
ALLENOCK_01077	CDS	759				hypothetical protein
ALLENOCK_01078	CDS	507				hypothetical protein
ALLENOCK_01079	CDS	1461	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
ALLENOCK_01080	CDS	1653		3.1.6.-		Ulvan-active sulfatase
ALLENOCK_01081	CDS	564				hypothetical protein
ALLENOCK_01082	CDS	1467				hypothetical protein
ALLENOCK_01083	CDS	1482				hypothetical protein
ALLENOCK_01084	CDS	1569				hypothetical protein
ALLENOCK_01085	CDS	3660	btuB_3			Vitamin B12 transporter BtuB
ALLENOCK_01086	CDS	1095				hypothetical protein
ALLENOCK_01087	CDS	1701	cpdA_2	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
ALLENOCK_01088	CDS	1167	xerC_2			Tyrosine recombinase XerC
ALLENOCK_01089	tRNA	72				tRNA-Gln(ttg)
ALLENOCK_01090	CDS	1674	dtpT		COG3104	Di-/tripeptide transporter
ALLENOCK_01091	CDS	438	sufE		COG2166	Cysteine desulfuration protein SufE
ALLENOCK_01092	CDS	975				hypothetical protein
ALLENOCK_01093	CDS	552				hypothetical protein
ALLENOCK_01094	CDS	1389	mltF_2	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
ALLENOCK_01095	CDS	1167	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
ALLENOCK_01096	CDS	837				hypothetical protein
ALLENOCK_01097	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
ALLENOCK_01098	CDS	624	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
ALLENOCK_01099	CDS	1443				hypothetical protein
ALLENOCK_01100	CDS	2169	prlC	3.4.24.70	COG0339	Oligopeptidase A
ALLENOCK_01101	CDS	1359	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
ALLENOCK_01102	CDS	657				hypothetical protein
ALLENOCK_01103	CDS	1386	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
ALLENOCK_01104	CDS	576				hypothetical protein
ALLENOCK_01105	CDS	1029	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
ALLENOCK_01106	CDS	540	rimM			Ribosome maturation factor RimM
ALLENOCK_01107	CDS	1311	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
ALLENOCK_01108	CDS	594				hypothetical protein
ALLENOCK_01109	CDS	1089	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
ALLENOCK_01110	CDS	816	punA	2.4.2.1		Purine nucleoside phosphorylase 1
ALLENOCK_01111	CDS	1125	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
ALLENOCK_01112	CDS	1779	sppA	3.4.21.-	COG0616	Protease 4
ALLENOCK_01113	CDS	2283				hypothetical protein
ALLENOCK_01114	CDS	354				hypothetical protein
ALLENOCK_01115	CDS	837	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
ALLENOCK_01116	CDS	615	grpE			Protein GrpE
ALLENOCK_01117	CDS	1182	dnaJ		COG0484	Chaperone protein DnaJ
ALLENOCK_01118	CDS	2019	mutL			DNA mismatch repair protein MutL
ALLENOCK_01119	CDS	585				hypothetical protein
ALLENOCK_01120	CDS	588				hypothetical protein
ALLENOCK_01121	CDS	1212				hypothetical protein
ALLENOCK_01122	CDS	1137	pal_1			Peptidoglycan-associated lipoprotein
ALLENOCK_01123	CDS	2658				hypothetical protein
ALLENOCK_01124	CDS	1428	mepA_1		COG0534	Multidrug export protein MepA
ALLENOCK_01125	CDS	1581				hypothetical protein
ALLENOCK_01126	CDS	1962				hypothetical protein
ALLENOCK_01127	CDS	177				hypothetical protein
ALLENOCK_01128	CDS	165				hypothetical protein
ALLENOCK_01129	CDS	780			COG0596	putative protein
ALLENOCK_01130	CDS	1590	murF	6.3.2.10		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
ALLENOCK_01131	CDS	1197	ddl	6.3.2.4		D-alanine--D-alanine ligase
ALLENOCK_01132	CDS	1152				hypothetical protein
ALLENOCK_01133	CDS	1044	mneP		COG0053	Manganese efflux system protein MneP
ALLENOCK_01134	CDS	120				hypothetical protein
ALLENOCK_01135	CDS	570	tsaC	2.7.7.87		Threonylcarbamoyl-AMP synthase
ALLENOCK_01136	CDS	1359				hypothetical protein
ALLENOCK_01137	CDS	1806	clcB			Voltage-gated ClC-type chloride channel ClcB
ALLENOCK_01138	CDS	459				hypothetical protein
ALLENOCK_01139	CDS	1377	mepA_2			Multidrug export protein MepA
ALLENOCK_01140	CDS	528		3.1.3.48		Putative low molecular weight protein-tyrosine-phosphatase
ALLENOCK_01141	CDS	417				hypothetical protein
ALLENOCK_01142	CDS	489	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ALLENOCK_01143	CDS	564	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
ALLENOCK_01144	CDS	222				hypothetical protein
ALLENOCK_01145	CDS	1662	aspT_2			Aspartate/alanine antiporter
ALLENOCK_01146	CDS	1224	pbpE		COG1680	Penicillin-binding protein 4*
ALLENOCK_01147	CDS	1194	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
ALLENOCK_01148	CDS	585	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
ALLENOCK_01149	CDS	525				hypothetical protein
ALLENOCK_01150	CDS	1845	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
ALLENOCK_01151	CDS	1290	yciC		COG0523	Putative metal chaperone YciC
ALLENOCK_01152	CDS	513	argR		COG1438	Arginine repressor
ALLENOCK_01153	CDS	630				hypothetical protein
ALLENOCK_01154	CDS	1218	argG	6.3.4.5		Argininosuccinate synthase
ALLENOCK_01155	CDS	972	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
ALLENOCK_01156	CDS	1131	lysJ	2.6.1.-	COG4992	[LysW]-aminoadipate semialdehyde transaminase
ALLENOCK_01157	CDS	768	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
ALLENOCK_01158	CDS	339	ssb_1		COG0629	Single-stranded DNA-binding protein
ALLENOCK_01159	CDS	1056				hypothetical protein
ALLENOCK_01160	CDS	480				hypothetical protein
ALLENOCK_01161	CDS	522				hypothetical protein
ALLENOCK_01162	CDS	498				hypothetical protein
ALLENOCK_01163	CDS	801				hypothetical protein
ALLENOCK_01164	CDS	1128	yghO			Protein YghO
ALLENOCK_01165	CDS	2499	glgB_2	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
ALLENOCK_01166	CDS	3177	susC_4			TonB-dependent receptor SusC
ALLENOCK_01167	CDS	1629				hypothetical protein
